Source,Name,Min salary,Max salary,Currency,Link
HH.ru,Младший инженер PL/SQL,,,,https://hh.ru/vacancy/39422512?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,120000.0,150000.0,руб.,https://hh.ru/vacancy/39650419?query=oracle%20pl/sql
HH.ru,Главный специалист-разработчик ПО (Oracle),150000.0,,руб.,https://hh.ru/vacancy/38523461?query=oracle%20pl/sql
HH.ru,Программист (разработчик Oracle),140000.0,200000.0,руб.,https://hh.ru/vacancy/37191593?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL Oracle (Apex) в медицинскую страховую компанию,130000.0,150000.0,руб.,https://hh.ru/vacancy/39237554?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,100000.0,,руб.,https://hh.ru/vacancy/38218999?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,,250000.0,руб.,https://hh.ru/vacancy/39741883?query=oracle%20pl/sql
HH.ru,Разработчик SQL / Программист БД,120000.0,,руб.,https://hh.ru/vacancy/39472706?query=oracle%20pl/sql
HH.ru,Программист Oracle PL/SQL,,,,https://hh.ru/vacancy/38397504?query=oracle%20pl/sql
HH.ru,Oracle Developer - RiskEngine,220000.0,,руб.,https://hh.ru/vacancy/39840469?query=oracle%20pl/sql
HH.ru,Разработчик Oracle (PL/SQL),,,,https://hh.ru/vacancy/39782521?query=oracle%20pl/sql
HH.ru,Ведущий разработчик Oracle Pl/SQL,,,,https://hh.ru/vacancy/39779470?query=oracle%20pl/sql
HH.ru,"ETL Junior specialist (PL/SQL, Informatica, Exadata)",,,,https://hh.ru/vacancy/39388209?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/39812175?query=oracle%20pl/sql
HH.ru,"Разработчик PL/SQL (СУБД Oracle, ПП Парус)",,,,https://hh.ru/vacancy/39715919?query=oracle%20pl/sql
HH.ru,Аналитик PL\SQL,,,,https://hh.ru/vacancy/37332037?query=oracle%20pl/sql
HH.ru,Разработчик PL\SQL,,,,https://hh.ru/vacancy/36871749?query=oracle%20pl/sql
HH.ru,Middle разработчик PL/SQL,,,,https://hh.ru/vacancy/39777177?query=oracle%20pl/sql
HH.ru,Разработчик  PL/SQL (отчетность),,,,https://hh.ru/vacancy/39521707?query=oracle%20pl/sql
HH.ru,"Разработчик Oracle PL-SQL, Apex",,,,https://hh.ru/vacancy/39796129?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/39828158?query=oracle%20pl/sql
HH.ru,Разработчик Oracle PL/SQL (АБС Новая Афина),,,,https://hh.ru/vacancy/39822640?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL (Oracle),,,,https://hh.ru/vacancy/37423151?query=oracle%20pl/sql
HH.ru,Консультант ORACLE,,,,https://hh.ru/vacancy/39261919?query=oracle%20pl/sql
HH.ru,Программист Oracle,,,,https://hh.ru/vacancy/39841994?query=oracle%20pl/sql
HH.ru,Программист SQL,,100000.0,руб.,https://hh.ru/vacancy/39752603?query=oracle%20pl/sql
HH.ru,Руководитель группы (Oracle),,,,https://hh.ru/vacancy/39679919?query=oracle%20pl/sql
HH.ru,Программист-Разработчик Банковских систем (ЦФТ-Банк),150000.0,250000.0,руб.,https://hh.ru/vacancy/39529929?query=oracle%20pl/sql
HH.ru,Ведущий Разработчик Oracle PL/SQL,,,,https://hh.ru/vacancy/38701759?query=oracle%20pl/sql
HH.ru,"ETL Разработчик (PL/SQL, Informatica, Exadata)",,,,https://hh.ru/vacancy/38522188?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL,,,,https://hh.ru/vacancy/37787599?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/39807809?query=oracle%20pl/sql
HH.ru,Разработчик Delphi,80000.0,140000.0,руб.,https://hh.ru/vacancy/39801183?query=oracle%20pl/sql
HH.ru,Программист Delphi + Oracle,150000.0,,руб.,https://hh.ru/vacancy/36859239?query=oracle%20pl/sql
HH.ru,Главный инженер разработки (Oracle PL/SQL + JavaScript),,,,https://hh.ru/vacancy/39388868?query=oracle%20pl/sql
HH.ru,Разработчик Pl/SQL (Информационно-аналитический центр),,,,https://hh.ru/vacancy/38769992?query=oracle%20pl/sql
HH.ru,Специалист-разработчик ПО (Oracle),70000.0,,руб.,https://hh.ru/vacancy/37329599?query=oracle%20pl/sql
HH.ru,Разработчик Oracle/ETL,,,,https://hh.ru/vacancy/38222438?query=oracle%20pl/sql
HH.ru,Администратор Oracle,,,,https://hh.ru/vacancy/34811099?query=oracle%20pl/sql
HH.ru,Разработчик Oracle (C++),,,,https://hh.ru/vacancy/39813059?query=oracle%20pl/sql
HH.ru,PL/SQL разработчик,,,,https://hh.ru/vacancy/39688977?query=oracle%20pl/sql
HH.ru,Программист,100000.0,,руб.,https://hh.ru/vacancy/39624185?query=oracle%20pl/sql
HH.ru,Oracle/ ETL разработчик,,,,https://hh.ru/vacancy/37517389?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/31352367?query=oracle%20pl/sql
HH.ru,Программист Oracle,,,,https://hh.ru/vacancy/39746970?query=oracle%20pl/sql
HH.ru,Senior Oracle Developer,,250000.0,руб.,https://hh.ru/vacancy/38186351?query=oracle%20pl/sql
HH.ru,Разработчик Oracle Hyperion Planning,,,,https://hh.ru/vacancy/39005606?query=oracle%20pl/sql
HH.ru,Разработчик Oracle/C# / Developer Oracle/C#,,,,https://hh.ru/vacancy/38821114?query=oracle%20pl/sql
HH.ru,Администратор БД Oracle/Postgresql,,,,https://hh.ru/vacancy/39205520?query=oracle%20pl/sql
HH.ru,Разработчик PL-SQL,,,,https://hh.ru/vacancy/39388726?query=oracle%20pl/sql
HH.ru,Аналитик данных,,,,https://hh.ru/vacancy/39851771?query=oracle%20pl/sql
HH.ru,Разработчик PL/PlUS (ЦФТ-Банк),,,,https://hh.ru/vacancy/39323392?query=oracle%20pl/sql
